ip_address,2026-02-13 12:28 - Online Status,2026-02-13 12:33 - SDK App Deployment - hello_world v1.0.0.tar.gz
192.168.1.3,38 days,"2026-02-13 12:33:01 Successfully pushed to 192.168.1.3:22
2026-02-13 12:33:01 (Connection closed after transfer - normal for Cradlepoint)"
192.168.1.4,18:47:12,"2026-02-13 12:33:02 Successfully pushed to 192.168.1.4:22
2026-02-13 12:33:02 (Connection closed after transfer - normal for Cradlepoint)"
192.168.1.5,1 day,"2026-02-13 12:33:03 Successfully pushed to 192.168.1.5:22
2026-02-13 12:33:03 (Connection closed after transfer - normal for Cradlepoint)"
