id,service_display,longitude,latitude,rssi,download,token,serial_number,mac_address,router_id,timestamp,accuracy,carrier,cell_id,cur_plmn,tac,lac,pci,rf_band,scell0,scell1,scell2,scell3,sinr,rsrp,rsrq,sinr_5g,rsrp_5g,rsrq_5g,rfband_5g,upload,latency,packet_loss_percent,bytes_sent,bytes_received,results_url,version
6736832,NSA - 5G Sub-6 GHz,-116.292052,43.673088,-58,611.43,393236313639303833,WC2338TA003678,00:30:44:a2:ca:75,4978020,2025-12-02 19:02:34,3.0,T-Mobile,22795779 (0x15bd603),310260,10859,None,76,Band 66,None,None,None,None,13.6,-87,-12,26.0,-87,-11,Band n41,128.47,33,0,141846437,1001422021,https://www.speedtest.net/result/c/b93c9ebb-1e4c-443b-91fb-39e6ffaff6a4,3.0.1
6736837,NSA - 5G Sub-6 GHz,-116.292053,43.673091,-57,35.44,393236313639303833,WC2338TA003678,00:30:44:a2:ca:75,4978020,2025-12-02 19:03:18,3.0,T-Mobile,22795779 (0x15bd603),310260,10859,None,76,Band 66,None,None,None,None,14.4,-87,-12,27.5,-87,-11,Band n41,126.66,36,0,141505436,46550744,https://www.speedtest.net/result/c/190a0675-46e7-4bef-8daf-58f4e659978c,3.0.1
6736843,NSA - 5G Sub-6 GHz,-116.292056,43.673097,-57,636.51,393236313639303833,WC2338TA003678,00:30:44:a2:ca:75,4978020,2025-12-02 19:04:04,3.0,T-Mobile,22795779 (0x15bd603),310260,10859,None,76,Band 66,None,None,None,None,15.4,-87,-12,27.5,-87,-11,Band n41,126.87,28,0,218012340,751900702,https://www.speedtest.net/result/c/901b25f6-b5fe-48b6-b81c-237d58a6c0a5,3.0.1
6736950,NSA - 5G Sub-6 GHz,-116.292053,43.6731,-59,528.2,393236313639303833,WC2338TA003678,00:30:44:a2:ca:75,4978020,2025-12-02 19:21:32,2.0,T-Mobile,22795779 (0x15bd603),310260,10859,None,76,Band 66,None,None,None,None,14.8,-87,-12,25.0,-87,-11,Band n41,119.05,28,0,170364451,618426585,https://www.speedtest.net/result/c/7edf588b-07ac-416c-8dec-74b5af074d78,3.0.1
6736971,NSA - 5G Sub-6 GHz,-116.292058,43.673107,-54,633.43,393236313639303833,WC2338TA003678,00:30:44:a2:ca:75,4978020,2025-12-02 19:26:17,2.0,T-Mobile,22795779 (0x15bd603),310260,10859,None,76,Band 66,None,None,None,None,13.8,-87,-12,25.0,-87,-11,Band n41,118.45,25,0,158609829,753287187,https://www.speedtest.net/result/c/975665ee-379b-4597-98f6-bed91405ee87,3.0.1
